client_id,cluster,tipo_cliente
000be0ddb26c78032de953313a60adbaf30a9492fd70b8567316c192566c3b9f,1,unico
003e92c14650be88db51eeeb35ff0b564b3fd0d4c7de073ae6311c3231c33bcb,3,recorrente
004aa4dbc4e35d318a0201065335aa2fe95c78abe9573f171b6313e9ab699a3a,1,unico
005f0cea80f8be9587925f8c86aa3403a2bd2f9c02362f024d6ad5ae32c4bed1,3,recorrente
0072b4fde666a48136cb9bf1dce535d5c5b2031c4121996aec312d4d3776e431,1,unico
007943b703a61c32e2af4f27dc52d2ee7ac040f8f6e019fbb038daebb59204b6,3,recorrente
008f8c704f5cfb77663ba8c51b0a39d7ce77b08952fa7718a8e491dd7ed7cf52,0,ativo
009b3e90b9233e2c9852c2fa45949476f5753678a3724570c61dde5dc5115b05,0,ativo
00b66cbeb818575e0a630874d3f515660a0b1ecd1ff169901bd8149b647da900,0,ativo
00d287d2f796dbdcbc8610c544bda038200516385f7070c778635d79de389fee,0,ativo
00e4b6556681b102b457ed0bbec5e8c58d02f5ace4fa6128c4a7007f65a5d70e,0,ativo
00ffa20f382b8cc913a0cb1e1170528dcf2b628f3eaf4a5b33193b6331b9cace,1,unico
011f0a43600134b09ed1206d3ea99aba317a0a80164c83275c1a52a910dd5b1f,3,recorrente
0123e15412c2b64c4ca611d6cd27560a75341c517c899a0e5c8f5b9f1d17b548,3,recorrente
012744f15f0d0293c0a84b585f5003787af3953b2cd24096ade015580754b057,1,unico
012bb2b0453db373b85e6469c6ebb9b90aacbcc85952d37e37f70ece51d32fd0,2,novo
012f1da87ece8dea86c78d09b866cf5758e560038982cac92b8411793fd743a8,2,novo
015bf147cffd9f59b159c94fe12a091b38920596368c62ad7c87d030dffdbbd7,0,ativo
019bf75044bf287a236bb84746bac48b7d55d7bdb834ee2945a5353ebe8b2d06,3,recorrente
01a3d12441a7ffe3049548b27b5485e02d3c4a8e3555853e06496f54f4b88369,0,ativo
01a57b7b8b55bbf7e81e12334f86247b8a80101d5a36a449c89a4cae5e3bf593,3,recorrente
01b8e61ad110862647eae2657f785feddaed5e0bd3a934b39361aa9915867474,3,recorrente
01d093e6c60a19e734339c5ae85cdd740187eea320d8aa1ab77644ec04f11918,0,ativo
01f5d266e122e6572d9cb615740a26277ecfdea5d9dcde20eb47cb11e0624932,0,ativo
022a432b91585cd8d48cab01f316472b09766db53b37526e1311cd1b0e0e9056,0,ativo
025bd6df80dd009236752c3cf71edcb1da59c4b3306261f2581ed01e894e7d3c,1,unico
026b59b6805add7f67f3b1902cc49d81ecec5e0f6beb28450ec235c21188501c,0,ativo
027f61def28ba66a442dd35148012f47d9795066850da396bd9eceec9cca0865,3,recorrente
028429e908c57af464327312669f83c0da7d7c56a2a9d1d16f5f1820c063e33c,1,unico
028bc49fff3b750560e1bca4731909e67d639dc0b56dc27ed30903d22ad7e8ec,0,ativo
028d25f45758a03e92468d51921f728922205e68ef0d6a0897a93bdac9ace842,0,ativo
02a0b7b5f6dad8ef807758751b8fee27a5a630b5f40a5dca73010c0c5f67709e,0,ativo
02c0143576aeda5b0739f8312841fe912b6c9fc5391949ab2147e383d5764f88,2,novo
02c4a1e9806cbf1f49b6141f50225bfae99928a53394f264a2a4c47891228144,1,unico
02fbe95e9fab42298cedd9e53dfe27d13969d24675a66d74c84892ba92d80bb9,0,ativo
02fda2969ca116101c1def15d1b48c69ea862f7c71a6958434d34bd4407fc1f6,0,ativo
0301710663c8f96660500e7cc58cfe4ad55e426b6e05dcf477c18059f700ddf4,3,recorrente
03231f9b2bbfbcdb78fd80fdb2d4fd0d9618448f2dceabf2826599fa837e6891,0,ativo
032d2fd74e6517be4ce28d94a32c8a684e5f0604f322aab16a91372f63be65e3,0,ativo
036251dbf5f0ed1166e214c94c8d6eff9ea4ce09a5e1c8306dec8eefcbc718ef,0,ativo
037423889c35ed9370f2749f777b97d1becb87622ff8cc3b44ed2932324d3fe9,0,ativo
037e165246bee98d1d9079bf7b4094a44cd88fe2996aa20c982a7bfeb375111d,1,unico
0382ae78c60a052fea53dc9c6f09034be36f82b93aef4a9b991e5a449471a7df,2,novo
0383d6c84478a61561837632ca65e56ae799656ce1849bdcabec718b1c7dccd1,3,recorrente
03c494078e4185752aec12cb75475cad3215c224101c51995181b94e2643037d,0,ativo
03cc100dcbbea1ac64805d9f1b4a4365bea821425a2777a4a4b0a3730fcc04b0,0,ativo
03d4a8f203ef93bef5d615f53bef4226d918c9ef815c482998203729d362c480,2,novo
03e0aebd2b610607a1e81de710b7fd8761ed917edfced64c68c7e81de2cfc4af,2,novo
